,Unnamed: 0,followers_count,id,link,pop_score,time,text,score,word_counts,eng_perc,platform
671,708,153,965516544007659520,https://twitter.com/i/web/status/965516544007659520,0,2018-02-19,You looking for angst au? Wannaone members as the cats of bgc </////3 — BGC like BGC taguig? HAHAHA I'd try to work on that!! lmao why do I have this feeling that inst...,0.45625,35,0.3142857142857143,tw
674,711,4,966359081035341824,https://twitter.com/i/web/status/966359081035341824,0,2018-02-21,@ShangriLaHotels @ShangriLaHotels if you could not produce you should fire your jhon rice,0.0,13,0.23076923076923078,tw
675,713,371,965935995886514176,https://twitter.com/i/web/status/965935995886514176,0,2018-02-20,Nahanap na ba yung mga,0.0,5,0.2,tw
676,714,2210,965235787846463488,https://twitter.com/i/web/status/965235787846463488,0,2018-02-18,@InvictusPhoenix Any activity related to cats of bgc and the hotel? Is this an FB glitch?,0.0,16,0.3125,tw
677,716,2349,359794684404568064,https://twitter.com/i/web/status/359794684404568064,0,2013-07-23,"@LilTwist best Tuesday. Your ustream, pretty little liars, bgc reunion &amp; then cat fish. 5 hours of me sitting lol",0.465625,20,0.5,tw
678,717,1043,169157667783327744,https://twitter.com/i/web/status/169157667783327744,0,2012-02-13,"Omg omg omg, ths is one of my fav seasons of bgc, TeamKirsten+Cat&lt;3",0.0,15,0.26666666666666666,tw
679,718,38,965818642288975872,https://twitter.com/i/web/status/965818642288975872,0,2018-02-20,The Cats of BGC: What We Know So Far,0.1,9,0.4444444444444444,tw
680,719,9276,224631085076717568,https://twitter.com/i/web/status/224631085076717568,0,2012-07-15,Like the Cat suit in my avi?? Check out to see diff kinds of cute Cat suits/dresses designed by Bad girl @MsCat215,-0.09999999999999992,22,0.45454545454545453,tw
681,721,912,966141725327507456,https://twitter.com/i/web/status/966141725327507456,7,2018-02-21,"If the can save a life, their lives are also worth saving. *TRIGGER WARNING*",0.3,14,0.5,tw
682,722,114,966102335284854784,https://twitter.com/i/web/status/966102335284854784,0,2018-02-21,READ: How the Cats of BGC saved this Person’s Life Emotions are high amidst the firestorm generated by the ...,0.16,21,0.38095238095238093,tw
683,723,7,967669317675315200,https://twitter.com/i/web/status/967669317675315200,1,2018-02-25,ICYMI: Adopted cats not those missing at BGC,-0.2,8,0.375,tw
